Name,Logic Elements,Registers,Max Clock Freq,Synthesis Time,DSP Blocks,Clock Cycles,Correct
radix2_34,425,206                                         ;,150.04,0:02:19,0,19,1
,,,,,,,
radix2_35,437,207                                         ;,143.04,0:02:20,0,21,1
,,,,,,,
radix2_36,446,229                                         ;,143.45,0:02:21,0,20,1
,,,,,,,
radix2_37,445,230                                         ;,140.25,0:02:19,0,22,1
,,,,,,,
radix2_38,450,237                                         ;,140.53,0:02:22,0,21,1
,,,,,,,
radix2_39,482,233                                         ;,137.61,0:02:21,0,22,1
,,,,,,,
radix2_40,482,249                                         ;,145.86,0:02:32,0,23,1
,,,,,,,
radix2_41,506,244                                         ;,134.93,0:02:26,0,25,1
,,,,,,,
radix2_42,508,243                                         ;,138.91,0:02:30,0,23,1
,,,,,,,
radix2_43,531,260                                         ;,142.11,0:02:27,0,25,1
,,,,,,,
radix2_44,528,256                                         ;,140.11,0:02:25,0,25,1
,,,,,,,
radix2_45,542,271                                         ;,137.44,0:02:26,0,25,1
,,,,,,,
radix2_46,555,267                                         ;,141.36,0:02:27,0,30,1
,,,,,,,
radix2_47,553,281                                         ;,136.71,0:02:23,0,34,1
,,,,,,,
radix2_48,565,273                                         ;,133.1,0:02:26,0,26,1
,,,,,,,
radix2_49,578,288                                         ;,134.1,0:02:23,0,27,1
,,,,,,,
radix2_50,578,292                                         ;,133.92,0:02:29,0,27,1
,,,,,,,
radix2_51,584,295                                         ;,132.7,0:02:20,0,28,1
,,,,,,,
radix2_52,593,305                                         ;,124.94,0:02:28,0,29,1
,,,,,,,
radix2_53,605,310                                         ;,133.64,0:02:30,0,30,1
,,,,,,,
radix2_54,609,322                                         ;,136.99,0:02:26,0,30,1
,,,,,,,
radix2_55,626,318                                         ;,127.29,0:02:26,0,30,1
,,,,,,,
radix2_56,636,326                                         ;,132.01,0:02:30,0,30,1
,,,,,,,
radix2_57,656,334                                         ;,130.68,0:02:30,0,31,1
,,,,,,,
radix2_58,654,329                                         ;,131.35,0:02:32,0,31,1
,,,,,,,
radix2_59,670,344                                         ;,127.88,0:02:34,0,34,1
,,,,,,,
radix2_60,658,341                                         ;,123.79,0:02:30,0,33,1
,,,,,,,
radix2_61,675,357                                         ;,123.18,0:02:33,0,33,1
,,,,,,,
radix2_62,683,357                                         ;,125.17,0:02:28,0,34,1
,,,,,,,
radix2_63,691,362                                         ;,122.52,0:02:31,0,36,1
,,,,,,,
radix2_64,752,370                                         ;,118.41,0:02:29,0,34,1
,,,,,,,
radix2_66,761,389                                         ;,123.72,0:02:40,0,35,1
,,,,,,,
radix2_68,778,393                                         ;,114.97,0:02:31,0,36,1
,,,,,,,
radix2_70,806,394                                         ;,117.21,0:02:34,0,37,1
,,,,,,,
radix2_72,828,406                                         ;,119.01,0:02:38,0,38,1
,,,,,,,
radix2_74,858,418                                         ;,104.12,0:02:42,0,39,1
,,,,,,,
radix2_76,882,424                                         ;,114.12,0:02:40,0,40,1
,,,,,,,
radix2_78,899,442                                         ;,112.07,0:02:48,0,42,1
,,,,,,,
radix2_80,923,445                                         ;,107.98,0:02:37,0,42,1
,,,,,,,
radix2_82,949,453                                         ;,108.74,0:02:48,0,43,1
,,,,,,,
radix2_84,969,463                                         ;,111.43,0:02:47,0,44,1
,,,,,,,
radix2_86,985,485                                         ;,114.8,0:02:44,0,46,1
,,,,,,,
radix2_88,"1,004",481                                         ;,108.1,0:02:51,0,48,1
,,,,,,,
radix2_90,"1,027",499                                         ;,107,0:02:59,0,47,1
,,,,,,,
